"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1489969381411649087",="1489969381410649087","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","258.06","258.06","没有申请退款","无退款申请","2022-02-16 23:23:01","2022-02-16 23:23:18"
="1489969381412649087",="1489969381410649087","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:23:01","2022-02-16 23:23:18"
="2472825781713370261",="2472825781712370261","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","314.11","314.11","没有申请退款","无退款申请","2022-02-16 23:19:43","2022-02-16 23:19:58"
="2472825781714370261",="2472825781712370261","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:19:43","2022-02-16 23:19:58"
="2473146830489748155",="2473146830488748155","【暖春价】Lovetodream 新生婴儿防惊跳睡袋宝宝襁褓投降式防踢被四季通用款","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","179.00","179.00","没有申请退款","无退款申请","2022-02-16 23:19:27","2022-02-16 23:19:33"
="2473146830490748155",="2473146830488748155","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:19:27","2022-02-16 23:19:33"
="2472818221078624830",="2472818221077624830","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","262.23","262.23","没有申请退款","无退款申请","2022-02-16 23:11:37","2022-02-16 23:11:41"
="2472818221079624830",="2472818221077624830","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 23:11:37","2022-02-16 23:11:41"
="1490019962926261891",="1490019962925261891","【暖春价】Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443004756","颜色分类：薄荷绿 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】XL：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443004756",="null","152.36","152.36","没有申请退款","无退款申请","2022-02-16 22:56:47","2022-02-16 22:56:53"
="1490019962927261891",="1490019962925261891","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:56:47","2022-02-16 22:56:53"
="2471732100212927344",="2471732100211927344","【暖春价】Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443004275","颜色分类：薄荷绿（四季通用款）1.0TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443004275",="null","285.02","285.02","没有申请退款","无退款申请","2022-02-16 22:52:00","2022-02-16 22:52:03"
="2471732100213927344",="2471732100211927344","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:52:00","2022-02-16 22:52:03"
="1489113120954534177",="1489113120953534177","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002042","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443002042",="null","158.08","158.08","没有申请退款","无退款申请","2022-02-16 22:47:10","2022-02-16 22:47:14"
="1489113120955534177",="1489113120953534177","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:47:10","2022-02-16 22:47:14"
="2471714784619389010",="2471714784618389010","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000307","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443000307",="null","273.57","273.57","没有申请退款","无退款申请","2022-02-16 22:41:26","2022-02-16 22:41:30"
="2471714784620389010",="2471714784618389010","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:41:26","2022-02-16 22:41:30"
="2473094018793026648",="2473094018792026648","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 22:40:59","2022-02-16 22:41:02"
="2473094018794026648",="2473094018792026648","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:40:59","2022-02-16 22:41:02"
="2471708196047158720",="2471708196046158720","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","238.39","238.39","买家已经申请退款，等待卖家同意","0.00","2022-02-16 22:35:02","2022-02-16 22:35:07"
="2471708196048158720",="2471708196046158720","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:35:02","2022-02-16 22:35:07"
="2471700024067873415",="2471700024066873415","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002257","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443002257",="null","159.39","159.39","退款成功","159.39","2022-02-16 22:29:30","2022-02-16 22:29:38"
="2471700024068873415",="2471700024066873415","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","交易关闭","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:29:30","2022-02-16 22:29:38"
="2472750145048695122",="2472750145047695122","【暖春价】lovetodream婴儿睡袋儿童防踢被四季通款宝宝睡袋新生婴儿防惊跳","439.00","1","9343443102063","颜色分类：虎年老虎款(四季通用款) 1.0TOG;长度：【尺码详询客服】S码：3.5-6kg（约1-3个月）","null","null","买家已付款，等待卖家发货","9343443102063",="null","229.43","229.43","没有申请退款","无退款申请","2022-02-16 22:26:04","2022-02-16 22:26:15"
="2472750145049695122",="2472750145047695122","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","买家已付款，等待卖家发货","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:26:04","2022-02-16 22:26:15"
="2473068710655509862",="2473068710654509862","【暖春价】Lovetodream 新生婴儿防惊跳睡袋宝宝襁褓投降式防踢被四季通用款","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","等待买家付款","9343443000321",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:24:02",""
="2473068710656509862",="2473068710654509862","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","1001-001","null","null","null","等待买家付款","1001-001",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 22:24:02",""
="2472742297191917345",="2472742297191917345","【暖春价】lovetodream新生婴儿襁褓期睡袋宝宝防踢被防惊跳投降式通用款","499.00","1","9343443000444","颜色分类：奶白色（有机棉四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约至6个月)","null","null","交易关闭","9343443000444",="null","268.23","268.23","退款成功","268.23","2022-02-16 22:21:56","2022-02-16 22:22:29"
="2472739705615384663",="2472739705614384663","【暖春价】love to dream 婴儿睡袋春夏竹纤维轻薄款宝宝过渡期可拆袖防踢被","509.00","1","9343443005319","颜色分类：薄荷绿竹纤维 (春夏季轻薄款) 0.2TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443005319",="null","350.65","350.65","没有申请退款","无退款申请","2022-02-16 22:20:53","2022-02-16 22:20:59"
="2472739705616384663",="2472739705614384663","【暖春价】lovetodream婴儿宝宝过渡期睡袋春夏轻薄款襁褓防惊跳投降式睡姿","509.00","1","9343443006828","颜色分类：白色（春夏轻薄款）0.2TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443006828",="null","350.65","350.65","没有申请退款","无退款申请","2022-02-16 22:20:53","2022-02-16 22:20:59"
