"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2462325087372390670",="2462325087372390670","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005951",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-10 23:54:24","2022-02-10 23:54:34"
="2460245940988107955",="2460245940988107955","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443004787",="null","136.17","136.17","没有申请退款","无退款申请","2022-02-10 23:47:05","2022-02-10 23:47:14"
="2462313387628936204",="2462313387628936204","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443005920",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-10 23:43:57","2022-02-10 23:44:03"
="2462312631350848722",="2462312631350848722","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","买家已付款，等待卖家发货","9343443000321",="null","285.87","285.87","没有申请退款","无退款申请","2022-02-10 23:41:57","2022-02-10 23:42:01"
="2461303441966108437",="2461303441966108437","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","买家已付款，等待卖家发货","9343443000376",="null","281.76","281.76","没有申请退款","无退款申请","2022-02-10 23:31:19","2022-02-10 23:31:38"
="2461290589718608565",="2461290589718608565","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005913","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443005913",="null","178.95","178.95","没有申请退款","无退款申请","2022-02-10 23:18:52","2022-02-10 23:19:05"
="1485832010979437490",="1485832010979437490","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000369","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","买家已付款，等待卖家发货","9343443000369",="null","238.39","238.39","没有申请退款","无退款申请","2022-02-10 23:10:26","2022-02-10 23:10:38"
="2461610126755109035",="2461610126755109035","Love to dream 婴儿睡袋襁褓新生儿保暖睡袋防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【建议大一码】M码：6-8.5kg (约3-6个月)","null","null","交易关闭","9343443005951",="null","348.23","348.23","退款成功","348.23","2022-02-10 22:49:09","2022-02-10 22:49:14"
="2460148416923116964",="2460148416923116964","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000840","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：8.5-11kg (约6-9个月)","null","null","买家已付款，等待卖家发货","9343443000840",="null","316.54","292.80","没有申请退款","无退款申请","2022-02-10 22:38:19","2022-02-10 22:38:23"
="2461232341289069452",="2461232341289069452","Love to dream 婴幼儿过渡期睡袋 秋冬季保暖款防惊跳投降式睡袋","539.00","1","9343443004756","颜色分类：薄荷绿 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】XL：11-14kg (约9-12个月)","null","null","买家已付款，等待卖家发货","9343443004756",="null","347.50","347.50","没有申请退款","无退款申请","2022-02-10 22:34:34","2022-02-10 22:34:43"
="2460142728482580816",="2460142728482580816","lovetodream婴儿睡袋襁褓分腿睡袋四季通用款防惊跳投降式睡袋","499.00","1","9343443005487","颜色分类：灰色（四季通用款） 1.0TOG;长度：【建议大一码】XL码：11-14kg (约9-12个月)","null","口水巾。直播间送的。","买家已付款，等待卖家发货","9343443005487",="null","298.23","298.23","没有申请退款","无退款申请","2022-02-10 22:33:10","2022-02-10 22:33:21"
