Item ID,Qty,Rate,External ID,Date,Department,Location,Currency,Customer,Gross Amount,Price Level,VAT,PO,Payment Method,Memo,Account,Cus Checking,New Cus Checking
55,1,253.98,JY000805444608,16/02/2022,22,76,CNY,3760095,287.0,Custom,,2472000805460790212,,2472000805460790212,2069,19,Tmall
58,1,228.66,JY009982844605,13/02/2022,22,76,CNY,3760095,258.39,Custom,,2467009982871919501,,2467009982871919501,2069,19,Tmall
55,1,246.36,JY012533244607,15/02/2022,22,76,CNY,3760095,278.39,Custom,,2471012533252426237,,2471012533252426237,2069,19,Tmall
1855,1,118.26,JY013869244605,13/02/2022,22,76,CNY,3760095,133.63,Custom,,2467013869294296149,,2467013869294296149,2069,19,Tmall
104,1,323.89,JY016408344605,13/02/2022,22,76,CNY,3760095,366.0,Custom,,2465016408381134221,,2465016408381134221,2069,19,Tmall
60,1,210.96,JY016705144606,14/02/2022,22,76,CNY,3760095,238.39,Custom,,1488016705158414684,,1488016705158414684,2069,19,Tmall
55,1,188.29,JY017252544608,16/02/2022,22,76,CNY,3760095,212.77,Custom,,1489017252596731279,,1489017252596731279,2069,19,Tmall
104,1,278.78,JY017881444606,14/02/2022,22,76,CNY,3760095,315.02,Custom,,2469017881496765748,,2469017881496765748,2069,19,Tmall
55,1,247.22,JY019072244606,14/02/2022,22,76,CNY,3760095,279.36,Custom,,1487019072241201581,,1487019072241201581,2069,19,Tmall
2982,1,244.25,JY019659444606,14/02/2022,22,76,CNY,3760095,276.0,Custom,,1488019659443537797,,1488019659443537797,2069,19,Tmall
1409,1,134.83,JY019962944608,16/02/2022,22,76,CNY,3760095,152.36,Custom,,1490019962925261891,,1490019962925261891,2069,19,Tmall
60,1,224.72,JY020539144608,16/02/2022,22,76,CNY,3760095,253.93,Custom,,1490020539196207898,,1490020539196207898,2069,19,Tmall
58,1,253.98,JY021423944606,14/02/2022,22,76,CNY,3760095,287.0,Custom,,1488021423982548480,,1488021423982548480,2069,19,Tmall
60,1,210.96,JY022690144605,13/02/2022,22,76,CNY,3760095,238.39,Custom,,2467022690102026009,,2467022690102026009,2069,19,Tmall
3022,1,246.42,JY023111644606,14/02/2022,22,76,CNY,3760095,278.45,Custom,,2470023111699173132,,2470023111699173132,2069,19,Tmall
55,1,210.96,JY023775444607,15/02/2022,22,76,CNY,3760095,238.39,Custom,,2472023775417422811,,2472023775417422811,2069,19,Tmall
2978,1,279.65,JY024100844606,14/02/2022,22,76,CNY,3760095,316.0,Custom,,2468024100862320258,,2468024100862320258,2069,19,Tmall
60,1,247.73,JY025790944608,16/02/2022,22,76,CNY,3760095,279.94,Custom,,2472025790915172244,,2472025790915172244,2069,19,Tmall
94,1,119.14,JY035960244608,16/02/2022,22,76,CNY,3760095,134.63,Custom,,2470035960297685951,,2470035960297685951,2069,19,Tmall
95,1,121.87,JY036040244608,16/02/2022,22,76,CNY,3760095,137.71,Custom,,2471036040267843563,,2471036040267843563,2069,19,Tmall
1243,1,118.26,JY039868744606,14/02/2022,22,76,CNY,3760095,133.63,Custom,,2468039868711943063,,2468039868711943063,2069,19,Tmall
91,1,153.65,JY040096444605,13/02/2022,22,76,CNY,3760095,173.63,Custom,,2465040096490062724,,2465040096490062724,2069,19,Tmall
92,1,118.27,JY043061044607,15/02/2022,22,76,CNY,3760095,133.64,Custom,,2471043061091039301,,2471043061091039301,2069,19,Tmall
55,1,246.36,JY047548544606,14/02/2022,22,76,CNY,3760095,278.39,Custom,,1487047548537817880,,1487047548537817880,2069,19,Tmall
3022,1,254.29,JY050843244607,15/02/2022,22,76,CNY,3760095,287.35,Custom,,1489050843250241071,,1489050843250241071,2069,19,Tmall
2846,1,248.95,JY051144644607,15/02/2022,22,76,CNY,3760095,281.31,Custom,,2469051144666880630,,2469051144666880630,2069,19,Tmall
60,1,246.36,JY051201344605,13/02/2022,22,76,CNY,3760095,278.39,Custom,,2467051201330460535,,2467051201330460535,2069,19,Tmall
58,1,250.65,JY051310144605,13/02/2022,22,76,CNY,3760095,283.24,Custom,,2467051310105101670,,2467051310105101670,2069,19,Tmall
55,1,250.65,JY051310144605,13/02/2022,22,76,CNY,3760095,283.24,Custom,,2467051310105101670,,2467051310105101670,2069,19,Tmall
3022,1,229.58,JY052380044607,15/02/2022,22,76,CNY,3760095,259.43,Custom,,1488052380088920274,,1488052380088920274,2069,19,Tmall
104,1,269.93,JY052604744608,16/02/2022,22,76,CNY,3760095,305.02,Custom,,1489052604711851285,,1489052604711851285,2069,19,Tmall
91,1,118.26,JY052794544606,14/02/2022,22,76,CNY,3760095,133.63,Custom,,2468052794572949160,,2468052794572949160,2069,19,Tmall
1855,1,120.65,JY056762044606,14/02/2022,22,76,CNY,3760095,136.33,Custom,,2469056762017369846,,2469056762017369846,2069,19,Tmall
2853,1,279.57,JY056895844607,15/02/2022,22,76,CNY,3760095,315.91,Custom,,2472056895858304657,,2472056895858304657,2069,19,Tmall
2978,1,278.78,JY059986144605,13/02/2022,22,76,CNY,3760095,315.02,Custom,,2467059986187755801,,2467059986187755801,2069,19,Tmall
91,1,120.89,JY060993044607,15/02/2022,22,76,CNY,3760095,136.61,Custom,,1489060993096698778,,1489060993096698778,2069,19,Tmall
2818,1,290.12,JY062973144607,15/02/2022,22,76,CNY,3760095,327.83,Custom,,1489062973189194599,,1489062973189194599,2069,19,Tmall
2846,1,210.96,JY065087844606,14/02/2022,22,76,CNY,3760095,238.39,Custom,,2470065087838021066,,2470065087838021066,2069,19,Tmall
1855,1,118.26,JY068130344606,14/02/2022,22,76,CNY,3760095,133.63,Custom,,2468068130382263024,,2468068130382263024,2069,19,Tmall
60,1,253.98,JY068687244606,14/02/2022,22,76,CNY,3760095,287.0,Custom,,2470068687222797817,,2470068687222797817,2069,19,Tmall
60,1,0.0,JY068710644608,16/02/2022,22,76,CNY,3760095,0.0,Custom,,2473068710654509862,,2473068710654509862,2069,19,Tmall
1243,1,123.01,JY076676444608,16/02/2022,22,76,CNY,3760095,139.0,Custom,,2470076676466454003,,2470076676466454003,2069,19,Tmall
94,1,127.58,JY077301344607,15/02/2022,22,76,CNY,3760095,144.16,Custom,,1489077301358520974,,1489077301358520974,2069,19,Tmall
