Item ID,Qty,Rate,External ID,Date,Department,Location,Currency,Customer,Gross Amount,Price Level,VAT,PO,Payment Method,Memo,Account,Cus Checking,New Cus Checking
78,1,236.01,JY0000444574,13/01/2022,22,76,CNY,4191514,266.69,Custom,,161000047015143,,161000047015143,2085,15,Wechat
51,1,188.96,JY0148344574,13/01/2022,22,76,CNY,4191514,213.52,Custom,,161014831015143,,161014831015143,2085,15,Wechat
104,1,240.74,JY0166644574,13/01/2022,22,76,CNY,4191514,272.04,Custom,,161016668015143,,161016668015143,2085,15,Wechat
2846,1,188.72,JY1257744565,04/01/2022,22,76,CNY,4191514,213.25,Custom,,159125771019543,,159125771019543,2085,15,Wechat
105,1,240.74,JY1278044565,04/01/2022,22,76,CNY,4191514,272.04,Custom,,159127802019543,,159127802019543,2085,15,Wechat
50,1,188.72,JY1295444565,04/01/2022,22,76,CNY,4191514,213.25,Custom,,159129546019543,,159129546019543,2085,15,Wechat
2846,1,188.72,JY1304344565,04/01/2022,22,76,CNY,4191514,213.25,Custom,,159130435019543,,159130435019543,2085,15,Wechat
60,1,188.72,JY1304844565,04/01/2022,22,76,CNY,4191514,213.25,Custom,,159130489019543,,159130489019543,2085,15,Wechat
60,1,188.72,JY1322844565,04/01/2022,22,76,CNY,4191514,213.25,Custom,,159132288019543,,159132288019543,2085,15,Wechat
2978,1,240.74,JY2161844575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161216186015143,,161216186015143,2085,15,Wechat
51,1,188.96,JY2175744575,14/01/2022,22,76,CNY,4191514,213.52,Custom,,161217578015143,,161217578015143,2085,15,Wechat
104,1,240.74,JY2177344575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161217731015143,,161217731015143,2085,15,Wechat
51,1,188.96,JY2183344575,14/01/2022,22,76,CNY,4191514,213.52,Custom,,161218334015143,,161218334015143,2085,15,Wechat
2978,1,240.74,JY2188444575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161218848015143,,161218848015143,2085,15,Wechat
55,1,188.96,JY2198944575,14/01/2022,22,76,CNY,4191514,213.52,Custom,,161219898015143,,161219898015143,2085,15,Wechat
104,1,240.74,JY2212944575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161221290015143,,161221290015143,2085,15,Wechat
55,1,188.96,JY2214344575,14/01/2022,22,76,CNY,4191514,213.52,Custom,,161221436015143,,161221436015143,2085,15,Wechat
104,1,240.74,JY2229844575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161222981015143,,161222981015143,2085,15,Wechat
104,1,240.74,JY2273444575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161227340015143,,161227340015143,2085,15,Wechat
105,1,240.74,JY2278944575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161227898015143,,161227898015143,2085,15,Wechat
2977,1,240.74,JY2334444575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161233445015143,,161233445015143,2085,15,Wechat
51,1,188.96,JY2402044575,14/01/2022,22,76,CNY,4191514,213.52,Custom,,161240206015143,,161240206015143,2085,15,Wechat
51,1,188.96,JY2411444571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160241149015143,,160241149015143,2085,15,Wechat
1367,1,240.74,JY2447144571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160244718015143,,160244718015143,2085,15,Wechat
2479,1,207.64,JY2447444571,10/01/2022,22,76,CNY,4191514,234.63,Custom,,160244746015143,,160244746015143,2085,15,Wechat
2846,1,188.96,JY2449244571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160244929015143,,160244929015143,2085,15,Wechat
58,1,188.96,JY2451544571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160245154015143,,160245154015143,2085,15,Wechat
58,1,188.96,JY2459144571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160245918015143,,160245918015143,2085,15,Wechat
55,1,188.96,JY2465844571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160246588015143,,160246588015143,2085,15,Wechat
55,1,188.96,JY2466544571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160246656015143,,160246656015143,2085,15,Wechat
106,1,240.74,JY2468144571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160246817015143,,160246817015143,2085,15,Wechat
2977,1,240.74,JY2473644571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160247362015143,,160247362015143,2085,15,Wechat
2977,1,240.74,JY2474844571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160247486015143,,160247486015143,2085,15,Wechat
1904,1,236.01,JY2480844571,10/01/2022,22,76,CNY,4191514,266.69,Custom,,160248082015143,,160248082015143,2085,15,Wechat
59,1,188.96,JY2488344571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160248831015143,,160248831015143,2085,15,Wechat
59,1,188.96,JY2500244571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160250020015143,,160250020015143,2085,15,Wechat
2490,1,207.64,JY2501344571,10/01/2022,22,76,CNY,4191514,234.63,Custom,,160250137015143,,160250137015143,2085,15,Wechat
1993,1,236.01,JY2501344571,10/01/2022,22,76,CNY,4191514,266.69,Custom,,160250137015143,,160250137015143,2085,15,Wechat
59,1,188.96,JY2505744571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160250576015143,,160250576015143,2085,15,Wechat
104,1,240.74,JY2514544571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160251454015143,,160251454015143,2085,15,Wechat
58,1,188.96,JY2517444571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160251749015143,,160251749015143,2085,15,Wechat
104,1,240.74,JY2525744571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160252579015143,,160252579015143,2085,15,Wechat
51,1,188.96,JY2525944571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160252597015143,,160252597015143,2085,15,Wechat
51,1,188.96,JY2526344571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160252635015143,,160252635015143,2085,15,Wechat
1835,1,240.74,JY2536844571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160253680015143,,160253680015143,2085,15,Wechat
3022,1,207.64,JY2537344571,10/01/2022,22,76,CNY,4191514,234.63,Custom,,160253736015143,,160253736015143,2085,15,Wechat
54,1,188.96,JY2537544571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160253756015143,,160253756015143,2085,15,Wechat
104,1,240.74,JY2537744571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160253776015143,,160253776015143,2085,15,Wechat
3022,1,207.64,JY2548144571,10/01/2022,22,76,CNY,4191514,234.63,Custom,,160254817015143,,160254817015143,2085,15,Wechat
55,1,188.96,JY2553544571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160255357015143,,160255357015143,2085,15,Wechat
60,1,188.96,JY2573744571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160257379015143,,160257379015143,2085,15,Wechat
2982,1,207.64,JY2579544571,10/01/2022,22,76,CNY,4191514,234.63,Custom,,160257958015143,,160257958015143,2085,15,Wechat
55,1,188.96,JY2612144571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160261216015143,,160261216015143,2085,15,Wechat
104,1,240.74,JY2647744575,14/01/2022,22,76,CNY,4191514,272.04,Custom,,161264773015143,,161264773015143,2085,15,Wechat
1835,1,240.74,JY2652144571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160265212015143,,160265212015143,2085,15,Wechat
1904,1,236.01,JY2682544575,14/01/2022,22,76,CNY,4191514,266.69,Custom,,161268258015143,,161268258015143,2085,15,Wechat
51,1,188.96,JY2857044571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160285707015143,,160285707015143,2085,15,Wechat
2978,1,240.74,JY2863844571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160286381015143,,160286381015143,2085,15,Wechat
1835,2,240.74,JY2882544571,10/01/2022,22,76,CNY,4191514,544.08,Custom,,160288256015143,,160288256015143,2085,15,Wechat
106,1,240.74,JY3010144566,05/01/2022,22,76,CNY,4191514,272.04,Custom,,159301017019543,,159301017019543,2085,15,Wechat
60,1,188.72,JY3068244566,05/01/2022,22,76,CNY,4191514,213.25,Custom,,159306823019543,,159306823019543,2085,15,Wechat
59,1,188.72,JY3104844566,05/01/2022,22,76,CNY,4191514,213.25,Custom,,159310480019543,,159310480019543,2085,15,Wechat
60,1,188.72,JY3104844566,05/01/2022,22,76,CNY,4191514,213.25,Custom,,159310480019543,,159310480019543,2085,15,Wechat
58,1,188.96,JY3143044571,10/01/2022,22,76,CNY,4191514,213.52,Custom,,160314302015143,,160314302015143,2085,15,Wechat
1367,1,240.74,JY3143844571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160314382015143,,160314382015143,2085,15,Wechat
1218,1,240.74,JY3175344571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160317532015143,,160317532015143,2085,15,Wechat
2177,38,207.64,JY3345944566,05/01/2022,22,76,CNY,4191514,8915.94,Custom,,159334595019543,,159334595019543,2085,15,Wechat
50,95,188.72,JY3345944566,05/01/2022,22,76,CNY,4191514,20258.75,Custom,,159334595019543,,159334595019543,2085,15,Wechat
80,14,207.64,JY3345944566,05/01/2022,22,76,CNY,4191514,3284.82,Custom,,159334595019543,,159334595019543,2085,15,Wechat
105,39,240.74,JY3345944566,05/01/2022,22,76,CNY,4191514,10609.56,Custom,,159334595019543,,159334595019543,2085,15,Wechat
2982,1,207.64,JY3437944571,10/01/2022,22,76,CNY,4191514,234.63,Custom,,160343793015143,,160343793015143,2085,15,Wechat
2815,1,240.74,JY3438444571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160343842015143,,160343842015143,2085,15,Wechat
2978,1,240.74,JY3438444571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160343842015143,,160343842015143,2085,15,Wechat
104,1,240.74,JY3502944571,10/01/2022,22,76,CNY,4191514,272.04,Custom,,160350294015143,,160350294015143,2085,15,Wechat
60,1,188.96,JY4361044576,15/01/2022,22,76,CNY,4191514,213.52,Custom,,161436102015143,,161436102015143,2085,15,Wechat
105,1,240.74,JY4379844576,15/01/2022,22,76,CNY,4191514,272.04,Custom,,161437984015143,,161437984015143,2085,15,Wechat
2977,1,240.74,JY4429744576,15/01/2022,22,76,CNY,4191514,272.04,Custom,,161442979015143,,161442979015143,2085,15,Wechat
