Item ID,Qty,Rate,External ID,Date,Department,Location,Currency,Customer,Gross Amount,Price Level,VAT,PO,Payment Method,Memo,Account,Cus Checking,New Cus Checking
55,1,253.23,JY008651744600,08/02/2022,22,76,CNY,3760095,286.15,Custom,,2458008651766712621,,2458008651766712621,2069,19,Tmall
1956,1,314.18,JY014271944598,06/02/2022,22,76,CNY,3760095,355.02,Custom,,2454014271953129244,,2454014271953129244,2069,19,Tmall
3022,1,0.0,JY017243044602,10/02/2022,22,76,CNY,3760095,0.0,Custom,,2461017243011187968,,2461017243011187968,2069,19,Tmall
55,1,246.36,JY018401644598,06/02/2022,22,76,CNY,3760095,278.39,Custom,,2453018401639455449,,2453018401639455449,2069,19,Tmall
1128,1,217.07,JY019622744600,08/02/2022,22,76,CNY,3760095,245.29,Custom,,2457019622764694216,,2457019622764694216,2069,19,Tmall
1192,1,314.34,JY023139044601,09/02/2022,22,76,CNY,3760095,355.2,Custom,,2460023139061763002,,2460023139061763002,2069,19,Tmall
1243,1,158.41,JY023155144599,07/02/2022,22,76,CNY,3760095,179.0,Custom,,1484023155128256198,,1484023155128256198,2069,19,Tmall
1192,1,278.78,JY026870844598,06/02/2022,22,76,CNY,3760095,315.02,Custom,,2454026870884549230,,2454026870884549230,2069,19,Tmall
55,1,210.96,JY028036744600,08/02/2022,22,76,CNY,3760095,238.39,Custom,,2456028036756432048,,2456028036756432048,2069,19,Tmall
105,1,270.46,JY029130444599,07/02/2022,22,76,CNY,3760095,305.62,Custom,,1484029130402014494,,1484029130402014494,2069,19,Tmall
1097,1,223.66,JY031270044599,07/02/2022,22,76,CNY,3760095,252.74,Custom,,2455031270019351071,,2455031270019351071,2069,19,Tmall
51,1,246.36,JY033097344599,07/02/2022,22,76,CNY,3760095,278.39,Custom,,2454033097324291804,,2454033097324291804,2069,19,Tmall
60,1,253.28,JY034280244601,09/02/2022,22,76,CNY,3760095,286.21,Custom,,2458034280242522846,,2458034280242522846,2069,19,Tmall
